ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Souls' Day,All Souls' Day_lower,All Souls' Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,Our Lady of Aparecida,Our Lady of Aparecida_lower,Our Lady of Aparecida_upper,Republic Proclamation Day,Republic Proclamation Day_lower,Republic Proclamation Day_upper,Tiradentes' Day,Tiradentes' Day_lower,Tiradentes' Day_upper,Universal Fraternization Day,Universal Fraternization Day_lower,Universal Fraternization Day_upper,Worker's Day,Worker's Day_lower,Worker's Day_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,categoria
2018-06-09,155.12490455636305,143.34924504426394,269.5353148365315,155.12490455636305,155.12490455636305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3064335167205582,0.3064335167205582,0.3064335167205582,0.3064335167205582,0.3064335167205582,0.3064335167205582,0.0,0.0,0.0,202.6603745905103,LINHA NOITE
2018-06-11,154.60250073823153,137.45133266604662,258.96875344073175,154.60250073823153,154.60250073823153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031153505376185,0.3031153505376185,0.3031153505376185,0.3031153505376185,0.3031153505376185,0.3031153505376185,0.0,0.0,0.0,201.464891943493,LINHA NOITE
2018-06-12,154.34129882916577,139.21127083939385,265.4972730469748,154.34129882916577,154.34129882916577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30299563960262993,0.30299563960262993,0.30299563960262993,0.30299563960262993,0.30299563960262993,0.30299563960262993,0.0,0.0,0.0,201.10603938500947,LINHA NOITE
2018-06-13,154.0800969201,135.8288934806768,267.8196113160934,154.0800969201,154.0800969201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033216477540471,0.3033216477540471,0.3033216477540471,0.3033216477540471,0.3033216477540471,0.3033216477540471,0.0,0.0,0.0,200.815925804008,LINHA NOITE
2018-06-14,153.81889501103424,140.9654705170605,265.46483695646106,153.81889501103424,153.81889501103424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30362145346006614,0.30362145346006614,0.30362145346006614,0.30362145346006614,0.30362145346006614,0.30362145346006614,0.0,0.0,0.0,200.52161148390576,LINHA NOITE
2018-06-15,153.55769310196848,133.73632057159753,261.9323082613853,153.55769310196848,153.55769310196848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3034122050824367,0.3034122050824367,0.3034122050824367,0.3034122050824367,0.3034122050824367,0.3034122050824367,0.0,0.0,0.0,200.1489713734088,LINHA NOITE
2018-06-16,153.29649119290272,133.3200448457435,261.4730647618835,153.29649119290272,153.29649119290272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3022158995294821,0.3022158995294821,0.3022158995294821,0.3022158995294821,0.3022158995294821,0.3022158995294821,0.0,0.0,0.0,199.62512817347914,LINHA NOITE
2018-06-18,152.7740873747712,131.59650216829684,261.0800574108997,152.7740873747712,152.7740873747712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2950683899784227,0.2950683899784227,0.2950683899784227,0.2950683899784227,0.2950683899784227,0.2950683899784227,0.0,0.0,0.0,197.85289136686782,LINHA NOITE
2018-06-19,152.51288546570544,132.55122565102909,261.3405399677354,152.51288546570544,152.51288546570544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28832446958120495,0.28832446958120495,0.28832446958120495,0.28832446958120495,0.28832446958120495,0.28832446958120495,0.0,0.0,0.0,196.486082271904,LINHA NOITE
2018-06-20,152.25168355663968,128.72475303963301,255.78170740609036,152.25168355663968,152.25168355663968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27903562976982177,0.27903562976982177,0.27903562976982177,0.27903562976982177,0.27903562976982177,0.27903562976982177,0.0,0.0,0.0,194.73532796138224,LINHA NOITE
2018-06-21,151.99048164757394,129.9937101271965,253.1650861115019,151.99048164757394,151.99048164757394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2669691155466689,0.2669691155466689,0.2669691155466689,0.2669691155466689,0.2669691155466689,0.2669691155466689,0.0,0.0,0.0,192.56724610453898,LINHA NOITE
2018-06-22,151.72927973850815,126.92652496432767,255.6242514677574,151.72927973850815,151.72927973850815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519767384620227,0.2519767384620227,0.2519767384620227,0.2519767384620227,0.2519767384620227,0.2519767384620227,0.0,0.0,0.0,189.9615287762093,LINHA NOITE
2018-06-23,151.46807782944242,123.51656293611738,254.40739204791274,151.46807782944242,151.46807782944242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23400224676601908,0.23400224676601908,0.23400224676601908,0.23400224676601908,0.23400224676601908,0.23400224676601908,0.0,0.0,0.0,186.91194835486218,LINHA NOITE
