id_data,id_loja,des_estabelecimento,id_produto,qtd_estoque
20191130,8,CAMPINAS,32967,5
20191130,4,INDAIATUBA,21979,3
20191130,9,SUMARE,19625,1
20191130,6,ITATIBA,1513,1
20191130,9,SUMARE,16605,1
20191130,27,SALTO,2721,1
20191130,6,ITATIBA,10437,1
20191130,7,GLICERIO,6578,2
20191130,23,BRAGANÇA,243,18
20191130,16,VALINHOS,20817,2
20191130,23,BRAGANÇA,27999,3
20191130,4,INDAIATUBA,16360,1
20191130,20,SOROCABA,22239,2
20191130,6,ITATIBA,32277,3
20191130,23,BRAGANÇA,16178,1
20191130,8,CAMPINAS,18052,1
20191130,6,ITATIBA,1559,12
20191130,16,VALINHOS,32798,3
20191130,9,SUMARE,10193,3
20191130,20,SOROCABA,2265,2
20191130,8,CAMPINAS,31358,1
20191130,6,ITATIBA,16105,5
20191130,23,BRAGANÇA,16184,2
20191130,27,SALTO,3746,3
20191130,8,CAMPINAS,21812,1
20191130,16,VALINHOS,28398,2
20191130,15,ATIBAIA,24799,8
20191130,8,CAMPINAS,15407,3
20191130,6,ITATIBA,17094,1
20191130,23,BRAGANÇA,21969,1
20191130,7,GLICERIO,31917,5
20191130,27,SALTO,26785,3
20191130,7,GLICERIO,34349,2
20191130,16,VALINHOS,27936,1
20191130,20,SOROCABA,20515,2
20191130,16,VALINHOS,32777,1
20191130,8,CAMPINAS,8262,4
20191130,6,ITATIBA,16159,1
20191130,7,GLICERIO,6312,4
20191130,23,BRAGANÇA,32304,4
20191130,6,ITATIBA,19372,1
20191130,23,BRAGANÇA,28335,4
20191130,16,VALINHOS,23435,1
20191130,15,ATIBAIA,15322,2
20191130,6,ITATIBA,22528,1
20191130,16,VALINHOS,33328,1
20191130,7,GLICERIO,15271,2
20191130,7,GLICERIO,20883,1
20191130,23,BRAGANÇA,16165,1
20191130,15,ATIBAIA,18475,1
20191130,27,SALTO,33567,2
20191130,7,GLICERIO,24962,1
20191130,7,GLICERIO,33512,1
20191130,8,CAMPINAS,375,8
20191130,16,VALINHOS,30229,1
20191130,8,CAMPINAS,14459,1
20191130,27,SALTO,34513,2
20191130,15,ATIBAIA,34205,2
20191130,6,ITATIBA,6311,3
20191130,4,INDAIATUBA,18134,1
20191130,23,BRAGANÇA,1626,1
20191130,6,ITATIBA,20111,5
20191130,16,VALINHOS,10128,2
20191130,9,SUMARE,31161,3
